Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Pkts,Total_Bytes,Pkt_Len_Std,Pkt_Len_Max,Payload_Bytes_Total,IAT_Std,IAT_Max
172.29.34.1,172.29.34.205,53,38535,DNS,0.000917911529541,2,225,28.5,141,0,0.0,0.000917911529541
172.29.34.205,34.107.221.82,57976,80,TCP,0.0,1,393,0.0,393,0,0.0,0.0
172.29.34.1,172.29.34.216,53,52955,DNS,0.0005252361297607,2,260,40.0,170,0,0.0,0.0005252361297607
172.29.34.216,2.19.96.169,41532,443,TCP,74.40609097480774,19,1242,2.679562539233233,66,0,4.885463947596655,10.21561694145203
172.29.34.1,172.29.34.205,53,37687,DNS,0.0288622379302978,2,248,32.0,156,0,0.0,0.0288622379302978
172.29.34.205,185.125.190.17,56794,443,TCP,0.2652924060821533,8,544,3.464101615137754,74,0,0.0375912792737374,0.1206128597259521
172.29.34.205,185.125.190.17,56794,443,TCP,0.0658161640167236,11,12081,1087.802128640306,2802,11355,0.0085635726935985,0.0261552333831787
172.29.34.216,18.196.9.33,34884,80,TCP,0.0210204124450683,3,198,0.0,66,0,0.0103678703308105,0.0208780765533447
172.29.34.216,18.238.243.33,44770,443,TCP,0.0,1,1434,0.0,1434,1368,0.0,0.0
172.29.34.202,34.1.242.226,56710,443,TCP,0.0325977802276611,5,306,5.878775382679627,66,0,0.0140849770772765,0.0325453281402587
172.29.34.216,18.238.243.33,44786,443,TCP,0.0,1,1434,0.0,1434,1368,0.0,0.0
172.29.34.216,18.238.243.33,44800,443,TCP,0.0,1,1434,0.0,1434,1368,0.0,0.0
172.29.34.217,18.64.103.81,43368,443,TCP,2.417032957077026,4,264,0.0,66,0,1.138912401000233,2.416342973709106
172.29.34.217,18.64.103.81,43378,443,TCP,2.39760971069336,4,264,0.0,66,0,1.129734786998455,2.396889448165894
172.29.34.216,18.238.243.33,44806,443,TCP,0.0,1,1434,0.0,1434,1368,0.0,0.0
172.29.34.216,57.129.37.42,33994,444,TCP,43.6553201675415,6275,524642,67.92045636978207,3261,109840,0.0058647462531391,0.0411195755004882
146.75.122.167,172.29.34.217,443,43520,TCP,105.2920470237732,28,1824,3.090472521826277,66,0,4.873734597471027,10.2236475944519
172.29.34.1,172.29.34.205,53,41306,DNS,0.0040915012359619,2,277,37.5,176,0,0.0,0.0040915012359619
172.29.34.253,224.0.0.251,5353,5353,DNS,176.9755473136902,240,91239,120.5167461133514,712,0,1.488073788147898,9.019633054733276
172.29.34.194,185.15.59.224,42292,443,TCP,130.1171169281006,146,9714,2.620165171938917,78,0,6.817986534250232,58.72503185272217
